iter	Passed	Remaining
0	6	635
1	12	609
2	18	603
3	24	597
4	31	604
5	37	582
6	43	575
7	49	563
8	54	554
9	60	548
10	66	538
11	72	530
12	78	526
13	84	521
14	90	514
15	97	510
16	103	503
17	109	497
18	114	489
19	120	483
20	127	478
21	133	471
22	138	464
23	144	458
24	150	451
25	157	447
26	163	442
27	170	437
28	176	432
29	183	428
30	190	423
31	197	418
32	203	412
33	209	407
34	216	402
35	222	395
36	228	389
37	235	383
38	242	378
39	248	372
40	256	369
41	262	362
42	269	357
43	275	351
44	286	349
45	291	342
46	298	336
47	305	330
48	309	321
49	315	315
50	322	309
51	328	303
52	335	297
53	341	291
54	348	284
55	354	278
56	361	272
57	368	266
58	374	260
59	381	254
60	387	247
61	394	241
62	400	235
63	407	229
64	415	223
65	423	218
66	431	212
67	437	206
68	444	199
69	450	193
70	457	186
71	464	180
72	470	174
73	477	167
74	483	161
75	489	154
76	495	148
77	501	141
78	508	135
79	514	128
80	520	121
81	526	115
82	532	108
83	538	102
84	544	96
85	549	89
86	555	83
87	561	76
88	567	70
89	575	63
90	581	57
91	586	51
92	592	44
93	598	38
94	607	31
95	615	25
96	623	19
97	629	12
98	636	6
99	642	0
